Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,John Luman,Victoria Bryant,Anne Sung,Danielle Paulus,Totals
"Houston |.S.D., Trustee, District VII",0037,1521,409,1930,2467,78.23%,128,148,856,67,1199
"Houston |.S.D., Trustee, District VII",0038,1876,436,2312,3081,75.04%,160,191,982,86,1419
"Houston |.S.D., Trustee, District VII",0054,1052,211,1263,1619,78.01%,112,143,464,70,789
"Houston |.S.D., Trustee, District VII",0070,2286,670,2956,3808,77.63%,407,297,900,117,1721
"Houston |.S.D., Trustee, District VII",0086,0,0,0,0,0.00%,0,0,0,0,0
"Houston |.S.D., Trustee, District VII",0129,2540,1052,3592,5172,69.45%,1244,272,729,106,2351
"Houston |.S.D., Trustee, District VII",0135,1614,551,2165,2777,77.96%,421,203,517,92,1233
"Houston |.S.D., Trustee, District VII",0139,1939,601,2540,3435,73.94%,301,260,794,92,1447
"Houston |.S.D., Trustee, District VII",0177,937,333,1270,1715,74.05%,173,150,381,47,751
"Houston |.S.D., Trustee, District VII",0178,1116,273,1389,1795,77.38%,321,120,382,50,873
"Houston |.S.D., Trustee, District VII",0179,0,0,0,0,0.00%,0,0,0,0,0
"Houston |.S.D., Trustee, District VII",0200,2307,377,2684,3692,72.70%,263,289,858,125,1535
"Houston |.S.D., Trustee, District VII",0204,2099,577,2676,3568,75.00%,389,283,911,142,1725
"Houston |.S.D., Trustee, District VII",0213,94,40,134,168,79.76%,30,17,12,5,64
"Houston |.S.D., Trustee, District VII",0217,1545,618,2163,2736,79.06%,499,186,588,88,1361
"Houston |.S.D., Trustee, District VII",0227,1071,359,1430,1810,79.01%,379,98,321,72,870
"Houston |.S.D., Trustee, District VII",0233,2571,703,3274,4713,69.47%,413,426,902,153,1894
"Houston |.S.D., Trustee, District VII",0234,2419,728,3147,4042,77.86%,731,238,564,116,1649
"Houston |.S.D., Trustee, District VII",0269,1273,365,1638,2067,79.25%,461,110,243,49,863
"Houston |.S.D., Trustee, District VII",0272,870,415,1285,2334,55.06%,149,196,393,44,782
"Houston |.S.D., Trustee, District VII",0282,773,604,1377,2144,64.23%,226,115,532,49,922
"Houston |.S.D., Trustee, District VII",0299,1,0,1,0,0.00%,0,0,0,0,0
"Houston |.S.D., Trustee, District VII",0303,1896,692,2588,3375,76.68%,957,144,363,121,1585
"Houston |.S.D., Trustee, District VII",0312,1705,552,2257,3724,60.61%,411,228,543,82,1264
"Houston |.S.D., Trustee, District VII",0431,930,458,1388,3003,46.22%,107,224,254,66,651
"Houston |.S.D., Trustee, District VII",0432,456,138,594,1568,37.88%,48,103,156,22,329
"Houston |.S.D., Trustee, District VII",0434,831,293,1124,1557,72.19%,169,148,239,35,591
"Houston |.S.D., Trustee, District VII",0435,1951,567,2518,3363,74.87%,478,225,640,81,1424
"Houston |.S.D., Trustee, District VII",0436,2008,678,2686,3809,70.52%,500,278,642,109,1529
"Houston |.S.D., Trustee, District VII",0491,937,488,1425,2110,67.54%,218,180,299,64,761
"Houston |.S.D., Trustee, District VII",0567,965,390,1355,2851,47.53%,91,197,287,45,620
"Houston |.S.D., Trustee, District VII",0569,2027,747,2774,4125,67.25%,310,302,906,100,1618
"Houston |.S.D., Trustee, District VII",0710,1,1132,450,1582,2096,75.48%,209,168,482,79,938
"Houston |.S.D., Trustee, District VII",0730,3,0,3,0,0.00%,0,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,John Luman,Victoria Bryant,Anne Sung,Danielle Paulus,Totals
"Houston |.S.D., Trustee, District VII",0902,1310,361,1671,2217,75.37%,185,179,650,106,1120
"Houston |.S.D., Trustee, District VII",0943,0,3,3,0,0.00%,1,0,0,0,1
