Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Lisa R. Nicholas,Totals
"Tomball |.S.D., Trustee, Position 7",0114,806,177,983,1340,73.36%,503,503
"Tomball |.S.D., Trustee, Position 7",0126,1147,243,1390,1900,73.16%,657,657
"Tomball |.S.D., Trustee, Position 7",0127,978,214,1192,2091,57.01%,517,517
"Tomball |.S.D., Trustee, Position 7",0173,2259,683,2942,3966,74.18%,1595,1595
"Tomball |.S.D., Trustee, Position 7",0245,10,6,16,23,69.57%,7,7
"Tomball |.S.D., Trustee, Position 7",0442,970,275,1245,1721,72.34%,699,699
"Tomball |.S.D., Trustee, Position 7",0479,589,197,786,1091,72.04%,418,418
"Tomball |.S.D., Trustee, Position 7",0484,0,3,3,0,0.00%,1,1
"Tomball |.S.D., Trustee, Position 7",0485,2118,567,2685,4051,66.28%,1420,1420
"Tomball |.S.D., Trustee, Position 7",0486,2310,721,3031,4195,72.25%,1594,1594
"Tomball |.S.D., Trustee, Position 7",0529,2107,434,2541,3842,66.14%,1240,1240
"Tomball |.S.D., Trustee, Position 7",0726,1271,321,1592,2207,72.13%,775,775
"Tomball |.S.D., Trustee, Position 7",0878,1,0,1,0,0.00%,0,0
"Tomball |.S.D., Trustee, Position 7",0903,1314,354,1668,2558,65.21%,848,848
"Tomball |.S.D., Trustee, Position 7",0915,0,0,0,0,0.00%,0,0
"Tomball |.S.D., Trustee, Position 7",0916,0,1,1,0,0.00%,0,0
"Tomball |.S.D., Trustee, Position 7",0926,550,149,699,967,72.29%,362,362
"Tomball |.S.D., Trustee, Position 7",0955,3522,572,4094,5099,80.29%,1901,1901
"Tomball |.S.D., Trustee, Position 7",0982,1898,501,2399,2916,82.27%,1266,1266
"Tomball |.S.D., Trustee, Position 7",0983,65,17,82,198,41.41%,43,43
"Tomball |.S.D., Trustee, Position 7",Totals;,21915,5435,27350,38165,13846,13846
